# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 19 15:48:34 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr < 5
# CONSTRAINT:  and pl_bmassestr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HAT-P-11 b,HAT-P-11,1,1,2,Transit,2008,HATNet,1,1,Published Confirmed,0,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,4.88780244,,,0,0.052540,0.000640,-0.000660,0,4.360,0.060,-0.060,0,0.389,0.005,-0.005,0,23.40000,1.50000,-1.50000,0,0.07362,0.00472,-0.00472,0,Msini,0.218000,0.034000,-0.031000,0,,,,,,,,,0,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,,4780.00,50.00,-50.00,0,0.68,0.01,-0.01,0,0.81,0.02,-0.03,0,0.310,0.050,-0.050,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647000,0.0337000,-0.0336000,9.4600000,0.0300000,-0.0300000,7.0090000,0.0200000,-0.0200000,9.1509800,0.0002930,-0.0002930,2019-01-28,2018-06,2019-01-31
Kepler-4 b,Kepler-4,1,1,1,Transit,2009,Kepler,1,1,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.126B/abstract target=ref> Borucki et al. 2010 </a>,3.21346000,0.00022000,-0.00022000,0,0.045600,0.000900,-0.000900,0,4.002,0.213,-0.213,0,0.357,0.019,-0.019,0,24.47200,3.81400,-3.81400,0,0.07700,0.01200,-0.01200,0,Mass,0.000000,,,0,,,,,1650,200,-200,0,0,<a refstr=BORUCKI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.126B/abstract target=ref> Borucki et al. 2010 </a>,,5857.00,120.00,-120.00,0,1.49,0.07,-0.08,0,1.22,0.05,-0.09,0,0.170,0.060,-0.060,0,[Fe/H],4.17,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m27.71s,285.6154492,+50d08m08.78s,50.1357712,487.9160000,5.8980000,-5.7610000,12.2850000,0.0570000,-0.0570000,10.8050000,0.0230000,-0.0230000,12.1577000,0.0001520,-0.0001520,2014-05-14,2010-04,2014-05-14
K2-25 b,K2-25,1,1,1,Transit,2015,K2,1,1,Published Confirmed,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,3.48456408,0.00000060,-0.00000050,0,0.028700,0.001200,-0.001200,0,3.440,0.120,-0.120,0,0.306,0.011,-0.011,0,24.50000,5.70000,-5.20000,0,0.07709,0.01793,-0.01636,0,Mass,0.428000,0.050000,-0.049000,0,9.91,0.95,-0.86,0,494,11,-11,0,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,M4.5 V,3207.00,58.00,-58.00,0,0.29,0.01,-0.01,0,0.26,0.01,-0.01,0,0.150,0.030,-0.030,0,[Fe/H],4.94,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h13m05.74s,63.2739346,+15d14m51.73s,15.2477027,44.9565000,0.1664000,-0.1653000,16.2100000,0.2000000,-0.2000000,10.4440000,0.0190000,-0.0190000,14.3817000,0.0009510,-0.0009510,2022-03-28,2020-10,2022-03-28
K2-292 b,K2-292,1,1,1,Transit,2019,K2,1,1,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,16.98410000,0.00080000,-0.00080000,0,0.130000,0.010000,-0.010000,0,2.630,0.110,-0.100,0,0.235,0.010,-0.009,0,24.50000,4.40000,-4.40000,0,0.07709,0.01384,-0.01384,0,Mass,0.040000,0.060000,-0.030000,0,67.00,12.00,-9.00,0,795,33,-28,0,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,G3 V,5725.00,65.00,-65.00,0,1.09,0.03,-0.03,0,1.00,0.03,-0.03,0,0.070,0.050,-0.050,0,[Fe/H],4.33,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m30.21s,205.3758786,-09d56m45.85s,-9.9460704,114.2930000,0.8250000,-0.8120000,9.8850000,0.0050000,-0.0050000,8.4070000,0.0270000,-0.0270000,9.7559700,0.0003350,-0.0003350,2019-02-05,2019-03,2019-02-07
TOI-1272 b,TOI-1272,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=MACDOUGALL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220614327M/abstract target=ref>MacDougall et al. 2022</a>,3.31599000,0.00002000,-0.00002000,0,0.041200,0.000800,-0.000800,0,4.140,0.210,-0.210,0,0.369,0.019,-0.019,0,24.60000,2.30000,-2.30000,0,0.07740,0.00724,-0.00724,0,Mass,0.338000,0.056000,-0.062000,0,,,,,961,32,-32,0,0,<a refstr=MACDOUGALL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220614327M/abstract target=ref>MacDougall et al. 2022</a>,,4985.00,121.00,-121.00,0,0.79,0.03,-0.03,0,0.85,0.05,-0.05,0,0.170,0.060,-0.060,0,[Fe/H],4.55,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h16m47.09s,199.1962036,+49d51m39.81s,49.8610591,137.5720000,0.4030000,-0.4010000,11.7580000,0.0460000,-0.0460000,9.7010000,0.0200000,-0.0200000,11.6000000,0.0004970,-0.0004970,2022-07-12,2022-06,2022-07-12
Kepler-11 g,Kepler-11,1,1,6,Transit,2010,Kepler,1,1,Published Confirmed,0,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,118.38070000,0.00100000,-0.00060000,0,0.466000,0.004000,-0.004000,0,3.330,0.060,-0.080,0,0.297,0.005,-0.007,0,25.00000,,,1,0.07900,,,1,Mass,0.150000,,,1,,,,,,,,,1,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,5663.00,55.00,-66.00,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,,4.37,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,6.3750000,-6.3750000,13.8170000,0.0920000,-0.0920000,12.1800000,0.0200000,-0.0200000,13.7062000,0.0002710,-0.0002710,2014-05-14,2013-06,2014-05-14
Kepler-411 b,Kepler-411,1,2,4,Transit,2013,Kepler,1,1,Published Confirmed,0,<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>,3.00515600,0.00000200,-0.00000200,0,0.037500,0.000800,-0.000800,0,2.401,0.053,-0.053,0,0.214,0.005,-0.005,0,25.60000,2.60000,-2.60000,0,0.08055,0.00818,-0.00818,0,Mass,0.146000,0.005000,-0.004000,0,,,,,1138,17,-17,0,1,<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>,K2 V,,,,,0.82,0.02,-0.02,0,0.87,0.04,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.6760000,0.4550000,-0.4530000,12.4480000,0.0690000,-0.0690000,10.0620000,0.0230000,-0.0230000,12.2327000,0.0005620,-0.0005620,2019-07-03,2019-04,2019-07-11
TOI-2196 b,TOI-2196,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=PERSSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220805797P/abstract target=ref>Persson et al. 2022</a>,1.19472680,0.00000790,-0.00000930,0,0.022340,0.000600,-0.000600,0,3.510,0.150,-0.150,0,0.313,0.013,-0.013,0,26.00000,1.30000,-1.30000,0,0.08181,0.00409,-0.00409,0,Mass,0.000000,0.000000,0.000000,0,2000.00,100.00,-100.00,0,1860,20,-20,0,0,<a refstr=PERSSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220805797P/abstract target=ref>Persson et al. 2022</a>,G V,5634.00,31.00,-31.00,0,1.04,0.02,-0.02,0,1.03,0.04,-0.04,0,0.140,0.050,-0.050,0,[Fe/H],4.42,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h49m21.62s,312.3400744,-70d29m06.26s,-70.4850723,259.9470000,2.0360000,-2.0050000,12.2970000,0.0280000,-0.0280000,10.3460000,0.0230000,-0.0230000,11.8259000,0.0002280,-0.0002280,2022-08-16,2022-08,2022-08-17
Kepler-411 c,Kepler-411,1,2,4,Transit,2016,Kepler,0,1,Published Confirmed,0,<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>,7.83443500,0.00000200,-0.00000200,0,0.073900,0.001000,-0.001000,0,4.421,0.062,-0.062,0,0.394,0.006,-0.006,0,26.40000,5.90000,-5.90000,0,0.08306,0.01856,-0.01856,0,Mass,0.108000,0.003000,-0.004000,0,,,,,838,10,-10,0,1,<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>,K2 V,,,,,0.82,0.02,-0.02,0,0.87,0.04,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.6760000,0.4550000,-0.4530000,12.4480000,0.0690000,-0.0690000,10.0620000,0.0230000,-0.0230000,12.2327000,0.0005620,-0.0005620,2019-07-19,2019-04,2019-07-25
K2-10 b,K2-10,1,1,1,Transit,2015,K2,1,1,Published Confirmed,0,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...56V/abstract target=ref>Van Eylen et al. 2016</a>,19.30440000,0.00120000,-0.00120000,0,,,,,3.840,0.350,-0.340,0,0.343,0.031,-0.030,0,27.00000,17.00000,-16.00000,0,0.08495,0.05349,-0.05034,0,Mass,0.310000,0.160000,-0.180000,0,,,,,,,,,0,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...56V/abstract target=ref>Van Eylen et al. 2016</a>,,5620.00,70.00,-70.00,0,0.98,0.08,-0.08,0,0.92,0.05,-0.05,0,-0.070,0.070,-0.070,0,[Fe/H],4.50,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h28m29.20s,172.1216476,+01d41m26.24s,1.6906217,272.3600000,3.1120000,-3.0440000,12.4290000,0.0690000,-0.0690000,10.6450000,0.0210000,-0.0210000,12.2156000,0.0002400,-0.0002400,2016-02-10,2016-03,2016-02-11
Kepler-328 b,Kepler-328,1,1,2,Transit,2013,Kepler,0,1,Published Confirmed,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,34.92100000,,,0,,,,,2.300,0.960,-0.230,0,0.205,0.086,-0.021,0,28.50000,12.90000,-12.30000,0,0.09000,0.04100,-0.03900,0,Mass,,,,,,,,,,,,,1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,1.06,0.44,-0.11,0,1.15,0.22,-0.16,0,,,,,,4.44,0.05,-0.27,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h43m14.23s,295.8092756,+40d00m30.55s,40.0084866,2213.1900000,162.2500000,-141.8500000,15.7940000,0.1150000,-0.1150000,14.1870000,0.0670000,-0.0670000,15.6036000,0.0004200,-0.0004200,2014-05-14,2014-02,2014-05-14
NGTS-14 A b,NGTS-14 A,1,2,1,Transit,2021,Paranal Observatory,1,1,Published Confirmed,0,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,3.53571730,0.00000690,-0.00000690,0,0.040300,0.007100,-0.007100,0,4.977,0.336,-0.336,0,0.444,0.030,-0.030,0,29.24036,3.81396,-3.81396,0,0.09200,0.01200,-0.01200,0,Mass,0.000000,,,0,,,,,1143,139,-139,0,0,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,K1 V,5187.00,11.00,-11.00,0,0.84,0.01,-0.01,0,0.90,0.04,-0.04,0,0.100,0.030,-0.030,0,[Fe/H],4.20,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h54m04.20s,328.5174799,-38d22m38.71s,-38.3774193,322.1480000,3.6320000,-3.5530000,13.2680000,0.0920000,-0.0920000,11.3050000,0.0270000,-0.0270000,13.0986000,0.0005180,-0.0005180,2021-02-25,2021-02,2021-03-04
LTT 9779 b,LTT 9779,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,4.720,0.230,-0.230,0,0.421,0.021,-0.021,0,29.32000,0.78000,-0.81000,0,0.09225,0.00245,-0.00255,0,Mass,0.000000,,,0,,,,,1978,19,-19,0,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,G7 V,5443.00,14.00,-13.00,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,0.270,0.030,-0.030,0,[Fe/H],4.35,0.16,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h54m40.53s,358.6688767,-37d37m41.61s,-37.6282237,80.4373000,0.3174000,-0.3150000,9.7900000,0.0300000,-0.0300000,8.0160000,0.0290000,-0.0290000,9.6000600,0.0002900,-0.0002900,2020-09-17,2020-09,2020-09-24
Kepler-414 c,Kepler-414,1,1,2,Transit Timing Variations,2014,Kepler,0,1,Published Confirmed,0,<a refstr=HADDEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...80H/abstract target=ref> Hadden et al. 2014 </a>,7.17100000,,,0,,,,,3.010,0.540,-0.250,0,0.269,0.048,-0.022,0,29.90000,12.40000,-10.50000,0,0.09400,0.03900,-0.03300,0,Mass,,,,,,,,,,,,,1,<a refstr=HADDEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...80H/abstract target=ref> Hadden et al. 2014 </a>,,,,,,0.95,,,0,0.89,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m50.77s,297.9615616,+48d14m39.61s,48.2443363,413.4600000,3.0230000,-2.9810000,13.3780000,0.2400000,-0.2400000,11.6980000,0.0200000,-0.0200000,13.3210000,0.0004060,-0.0004060,2014-05-28,2014-05,2014-05-28
LP 714-47 b,LP 714-47,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,4.05203700,0.00000400,-0.00000400,0,0.041700,0.000500,-0.000500,0,4.700,0.300,-0.300,0,0.419,0.027,-0.027,0,30.80000,1.50000,-1.50000,0,0.09691,0.00472,-0.00472,0,Mass,0.040000,0.020000,-0.020000,0,,,,,700,19,-24,0,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,M0.0 V,3950.00,51.00,-51.00,0,0.58,0.02,-0.02,0,0.59,0.02,-0.02,0,0.410,0.160,-0.160,0,[Fe/H],4.64,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h16m45.65s,64.1902212,-12d05m05.51s,-12.0848643,52.6160000,0.1152500,-0.1152500,12.4920000,0.0380000,-0.0380000,8.6260000,0.0250000,-0.0250000,11.7282000,0.0003810,-0.0003810,2020-12-10,2020-12,2020-12-17
K2-27 b,K2-27,1,3,1,Transit,2016,K2,1,1,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,6.77131500,0.00008500,-0.00008500,0,0.067020,0.000710,-0.000710,0,4.480,0.230,-0.230,0,0.400,0.021,-0.021,0,30.90000,4.60000,-4.60000,0,0.09722,0.01447,-0.01447,0,Mass,0.251000,0.088000,-0.088000,0,116.00,16.00,-12.00,0,902,28,-28,0,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5248.00,60.00,-60.00,0,0.89,0.04,-0.04,0,0.87,0.03,-0.02,0,0.130,0.040,-0.040,0,[Fe/H],4.48,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h26m03.64s,171.5151874,+01d13m50.25s,1.2306237,249.6450000,2.4890000,-2.4410000,12.6890000,0.1600000,-0.1600000,10.7040000,0.0240000,-0.0240000,12.4528000,0.0003060,-0.0003060,2017-02-08,2017-04,2017-02-09
